filename,macro_f1,micro_f1,num_segments,num_true_labels,num_pred_labels,num_errors
001430.wav,0.06444444444444444,0.26666666666666666,67,10,65,55
001433.wav,0.08651508651508652,0.5906040268456376,67,75,74,61
001457.wav,0.09831029185867894,0.6153846153846154,51,30,35,25
001467.wav,0.192014652014652,0.5747126436781609,50,25,62,37
001474.wav,0.10108262108262107,0.3803680981595092,52,101,62,101
001475.wav,0.08888888888888888,0.4580152671755725,44,35,96,71
001478.wav,0.0617283950617284,0.746268656716418,44,28,39,17
001492.wav,0.11604938271604938,0.6268656716417911,32,72,62,50
001506.wav,0.11515151515151516,0.9428571428571428,30,34,36,4
001541.wav,0.07352941176470588,0.4864864864864865,36,28,46,38
001544.wav,0.02735042735042735,0.1553398058252427,34,29,74,87
001546.wav,0.0850835945663532,0.32954545454545453,57,88,88,118
001569.wav,0.06666666666666667,0.5394736842105263,41,41,111,70
001575.wav,0.020202020202020204,0.08928571428571429,49,49,63,102
001592.wav,0.04951267056530215,0.3291139240506329,44,34,45,53
001594.wav,0.17777777777777776,0.8314606741573034,51,37,52,15
001596.wav,0.14673721340388007,0.6440677966101694,48,23,36,21
001598.wav,0.15046287046287046,0.5274725274725275,39,47,44,43
001603.wav,0.05333333333333334,0.47058823529411764,33,32,36,36
001647.wav,0.04748538011695906,0.38095238095238093,46,30,33,39
001655.wav,0.06666666666666667,0.9411764705882353,41,32,36,4
001658.wav,0.17716755857600927,0.9036144578313253,67,86,80,16
001659.wav,0.12421160760143811,0.7843137254901961,60,86,118,44
001660.wav,0.15731741972151178,0.7012987012987013,40,28,49,23
001668.wav,0.1093167701863354,0.7058823529411765,37,16,18,10
001669.wav,0.04081632653061225,0.2631578947368421,37,51,63,84
001671.wav,0.09821428571428571,0.7175572519083969,74,59,72,37
001680.wav,0.1599127290555862,0.8023255813953488,45,71,101,34
001695.wav,0.13572649572649573,0.6666666666666666,36,19,35,18
001705.wav,0.08534798534798534,0.45714285714285713,47,69,71,76
001706.wav,0.119029374201788,0.6666666666666666,50,36,66,34
001725.wav,0.11224400871459696,0.8115942028985508,37,34,35,13
001726.wav,0.13131313131313133,0.8518518518518519,54,25,29,8
001730.wav,0.11482628138974889,0.5066666666666667,38,20,55,37
001754.wav,0.10158730158730159,0.8,36,22,33,11
001755.wav,0.0779848171152519,0.47368421052631576,44,49,141,100
001757.wav,0.16214624881291548,0.7142857142857143,39,31,53,24
001759.wav,0.05714285714285714,0.5316455696202531,30,37,42,37
001778.wav,0.16242424242424244,0.5942857142857143,53,91,84,71
001787.wav,0.0772635814889336,0.39790575916230364,48,81,110,115
001791.wav,0.04583333333333333,0.5,33,22,22,22
001799.wav,0.11604469744887203,0.8372093023255814,35,44,42,14
001803.wav,0.11774891774891774,0.8387096774193549,32,26,36,10
001809.wav,0.10818446198587453,0.75,50,75,77,38
001812.wav,0.11745649263721553,0.8551724137931035,65,79,66,21
001814.wav,0.07876447876447876,0.5728643216080402,61,59,140,85
001844.wav,0.17043142043142043,0.7037037037037037,33,48,60,32
001849.wav,0.10485036119711041,0.5945945945945946,54,29,45,30
001852.wav,0.20051234971461426,0.7653061224489796,57,83,113,46
001853.wav,0.15755831384541583,0.7531380753138075,56,120,119,59
001855.wav,0.0,0.0,36,0,11,11
001859.wav,0.04444444444444444,0.35714285714285715,33,8,20,18
001867.wav,0.16655844155844157,0.7605633802816901,44,33,38,17
001874.wav,0.029629629629629627,0.21052631578947367,33,18,39,45
001877.wav,0.1286935286935287,0.5633802816901409,37,22,49,31
001879.wav,0.18662468136152346,0.5346534653465347,44,32,69,47
001895.wav,0.17454545454545453,0.5,60,26,54,40
001896.wav,0.1361398375065119,0.7189542483660131,41,58,95,43
001899.wav,0.06570048309178744,0.8292682926829268,36,35,47,14
001905.wav,0.07352941176470588,0.2830188679245283,63,29,77,76
001909.wav,0.04444444444444444,0.42696629213483145,59,39,50,51
001912.wav,0.1,0.8571428571428571,59,67,87,22
001945.wav,0.1755347119191513,0.625,48,32,48,30
001975.wav,0.058333333333333334,0.8076923076923077,28,21,31,10
001976.wav,0.1095324833029751,0.6466165413533834,38,48,85,47
001982.wav,0.055461233729485,0.3384615384615385,32,20,45,43
001984.wav,0.05185185185185185,0.42424242424242425,40,11,22,19
001986.wav,0.16229691876750701,0.7647058823529411,56,60,76,32
001987.wav,0.04425770308123249,0.16161616161616163,52,35,64,83
001989.wav,0.1270590268775387,0.5611510791366906,44,45,94,61
001999.wav,0.06303030303030303,0.2692307692307692,43,17,35,38
002006.wav,0.12058212058212057,0.7413793103448276,59,86,146,60
002020.wav,0.14511134511134513,0.6428571428571429,33,46,66,40
002021.wav,0.0834625322997416,0.4264705882352941,58,55,81,78
002026.wav,0.1330952380952381,0.71875,32,24,40,18
002054.wav,0.05760294455946629,0.32592592592592595,65,59,76,91
002056.wav,0.15535418392709197,0.7846153846153846,64,58,72,28
002071.wav,0.06588235294117648,0.9032258064516129,49,43,50,9
002157.wav,0.14619883040935674,0.6222222222222222,49,37,53,34
002160.wav,0.09176719576719577,0.5483870967741935,43,34,90,56
002168.wav,0.041530054644808745,0.4,63,40,55,57
002201.wav,0.019047619047619046,0.032520325203252036,46,55,68,119
002221.wav,0.08608156028368794,0.5604395604395604,50,61,121,80
002223.wav,0.03809523809523809,0.07272727272727272,33,26,29,51
002238.wav,0.05416666666666667,0.43333333333333335,34,13,47,34
002242.wav,0.04662309368191721,0.09375,49,30,98,116
002250.wav,0.13579338535860278,0.37777777777777777,56,37,53,56
002251.wav,0.09523809523809525,0.7926829268292683,62,81,83,34
002257.wav,0.05600000000000001,0.46153846153846156,35,9,30,21
002268.wav,0.0962962962962963,0.6324786324786325,43,39,78,43
002273.wav,0.04912280701754386,0.42424242424242425,43,8,25,19
002274.wav,0.09777777777777778,0.711864406779661,44,21,38,17
002287.wav,0.0857142857142857,0.7368421052631579,38,42,72,30
002315.wav,0.08717948717948718,0.4931506849315068,55,27,46,37
002369.wav,0.10835058661145618,0.25,49,21,43,48
002371.wav,0.09372198879551821,0.3742690058479532,50,54,117,107
002380.wav,0.0654970760233918,0.835820895522388,46,32,35,11
002381.wav,0.10101010101010101,0.4411764705882353,34,19,49,38
002399.wav,0.15684848484848485,0.43243243243243246,55,50,61,63
002402.wav,0.10370370370370369,0.37142857142857144,42,22,48,44
